Palabras,Frecuencia,Probabilidad,Cant. Informacion,
000000000,9,0.0025714285714285713,8.603214205277379,
000000001,10,0.002857142857142857,8.451211111832329,
000000010,3,8.571428571428571E-4,10.188176705998536,
000000011,7,0.002,8.965784284662087,
000000100,5,0.0014285714285714286,9.451211111832329,
000000101,2,5.714285714285715E-4,10.77313920671969,
000000110,5,0.0014285714285714286,9.451211111832329,
000000111,7,0.002,8.965784284662087,
000001000,8,0.002285714285714286,8.77313920671969,
000001001,8,0.002285714285714286,8.77313920671969,
000001010,4,0.001142857142857143,9.77313920671969,
000001011,6,0.0017142857142857142,9.188176705998536,
000001100,4,0.001142857142857143,9.77313920671969,
000001101,6,0.0017142857142857142,9.188176705998536,
000001110,3,8.571428571428571E-4,10.188176705998536,
000001111,6,0.0017142857142857142,9.188176705998536,
000010000,5,0.0014285714285714286,9.451211111832329,
000010001,8,0.002285714285714286,8.77313920671969,
000010010,6,0.0017142857142857142,9.188176705998536,
000010011,4,0.001142857142857143,9.77313920671969,
000010100,5,0.0014285714285714286,9.451211111832329,
000010101,10,0.002857142857142857,8.451211111832329,
000010110,7,0.002,8.965784284662087,
000010111,7,0.002,8.965784284662087,
000011000,11,0.003142857142857143,8.313707588082394,
000011001,9,0.0025714285714285713,8.603214205277379,
000011010,8,0.002285714285714286,8.77313920671969,
000011011,5,0.0014285714285714286,9.451211111832329,
000011100,6,0.0017142857142857142,9.188176705998536,
000011101,3,8.571428571428571E-4,10.188176705998536,
000011110,6,0.0017142857142857142,9.188176705998536,
000011111,3,8.571428571428571E-4,10.188176705998536,
000100000,4,0.001142857142857143,9.77313920671969,
000100001,4,0.001142857142857143,9.77313920671969,
000100010,8,0.002285714285714286,8.77313920671969,
000100011,5,0.0014285714285714286,9.451211111832329,
000100100,6,0.0017142857142857142,9.188176705998536,
000100101,6,0.0017142857142857142,9.188176705998536,
000100110,1,2.8571428571428574E-4,11.77313920671969,
000100111,13,0.0037142857142857142,8.0726994885786,
000101000,4,0.001142857142857143,9.77313920671969,
000101001,9,0.0025714285714285713,8.603214205277379,
000101010,10,0.002857142857142857,8.451211111832329,
000101011,4,0.001142857142857143,9.77313920671969,
000101100,6,0.0017142857142857142,9.188176705998536,
