Escenario: palabras 7 digitos.

Palabra        Frecuencia     Probabilidad        Cant. informacion   
-------------------------------------------------------------------
0000000        38             0.008444444444444   6.887781772660815   
0000001        32             0.007111111111111   7.135709286104399   
0000010        39             0.008666666666667   6.850307067242152   
0000011        38             0.008444444444444   6.887781772660815   
0000100        34             0.007555555555556   7.048246444854060   
0000101        27             0.006000000000000   7.380821783940932   
0000110        44             0.009777777777778   6.676277667467103   
0000111        38             0.008444444444444   6.887781772660815   
0001000        39             0.008666666666667   6.850307067242152   
0001001        34             0.007555555555556   7.048246444854060   
0001010        37             0.008222222222222   6.926255920475450   
0001011        36             0.008000000000000   6.965784284662088   
0001100        38             0.008444444444444   6.887781772660815   
0001101        31             0.006888888888889   7.181512975717525   
0001110        42             0.009333333333333   6.743391863325639   
0001111        33             0.007333333333333   7.091315166745946   
0010000        36             0.008000000000000   6.965784284662088   
0010001        52             0.011555555555556   6.435269567963307   
0010010        43             0.009555555555556   6.709444531402301   
0010011        39             0.008666666666667   6.850307067242152   
0010100        30             0.006666666666667   7.228818690495880   
0010101        34             0.007555555555556   7.048246444854060   
0010110        24             0.005333333333333   7.550746785383243   
0010111        37             0.008222222222222   6.926255920475450   
0011000        39             0.008666666666667   6.850307067242152   
0011001        38             0.008444444444444   6.887781772660815   
0011010        46             0.010222222222222   6.612147330047387   
0011011        43             0.009555555555556   6.709444531402301   
0011100        33             0.007333333333333   7.091315166745946   
0011101        26             0.005777777777778   7.435269567963307   
0011110        49             0.010888888888889   6.520999441989192   
0011111        36             0.008000000000000   6.965784284662088   
0100000        36             0.008000000000000   6.965784284662088   
0100001        27             0.006000000000000   7.380821783940932   
0100010        33             0.007333333333333   7.091315166745946   
0100011        49             0.010888888888889   6.520999441989192   
0100100        31             0.006888888888889   7.181512975717525   
0100101        34             0.007555555555556   7.048246444854060   
0100110        33             0.007333333333333   7.091315166745946   
0100111        29             0.006444444444444   7.277728290976827   
0101000        45             0.010000000000000   6.643856189774724   
0101001        54             0.012000000000000   6.380821783940931   
0101010        36             0.008000000000000   6.965784284662088   
0101011        35             0.007777777777778   7.006426269159433   
0101100        37             0.008222222222222   6.926255920475450   
0101101        33             0.007333333333333   7.091315166745946   
0101110        34             0.007555555555556   7.048246444854060   
0101111        30             0.006666666666667   7.228818690495880   
0110000        45             0.010000000000000   6.643856189774724   
0110001        38             0.008444444444444   6.887781772660815   
0110010        28             0.006222222222222   7.328354364046795   
0110011        31             0.006888888888889   7.181512975717525   
0110100        39             0.008666666666667   6.850307067242152   
0110101        32             0.007111111111111   7.135709286104399   
0110110        31             0.006888888888889   7.181512975717525   
0110111        38             0.008444444444444   6.887781772660815   
0111000        36             0.008000000000000   6.965784284662088   
0111001        34             0.007555555555556   7.048246444854060   
0111010        32             0.007111111111111   7.135709286104399   
0111011        36             0.008000000000000   6.965784284662088   
0111100        27             0.006000000000000   7.380821783940932   
