Probabilidad,Codigo,Huffman
0.0025714285714285713,000000000,111000011,
0.002857142857142857,000000001,111110100,
8.571428571428571E-4,000000010,0110101101,
0.002,000000011,100101011,
0.0014285714285714286,000000100,1111111001,
5.714285714285715E-4,000000101,01000000011,
0.0014285714285714286,000000110,000000110,
0.002,000000111,100010110,
0.002285714285714286,000001000,110011101,
0.002285714285714286,000001001,101010101,
0.001142857142857143,000001010,1011001100,
0.0017142857142857142,000001011,010010000,
0.001142857142857143,000001100,1101000111,
0.0017142857142857142,000001101,010111000,
8.571428571428571E-4,000001110,0110101011,
0.0017142857142857142,000001111,010111101,
0.0014285714285714286,000010000,000011101,
0.002285714285714286,000010001,101011011,
0.0017142857142857142,000010010,011011101,
0.001142857142857143,000010011,1011100111,
0.0014285714285714286,000010100,1111100101,
0.002857142857142857,000010101,00010110,
0.002,000010110,100011100,
0.002,000010111,011111101,
0.003142857142857143,000011000,00110101,
0.0025714285714285713,000011001,111010010,
0.002285714285714286,000011010,110011010,
0.0014285714285714286,000011011,1111110111,
0.0017142857142857142,000011100,010011010,
8.571428571428571E-4,000011101,0111010001,
0.0017142857142857142,000011110,010001101,
8.571428571428571E-4,000011111,0110011000,
0.001142857142857143,000100000,1101011000,
0.001142857142857143,000100001,1101011001,
0.002285714285714286,000100010,110110000,
0.0014285714285714286,000100011,000001001,
0.0017142857142857142,000100100,010001000,
0.0017142857142857142,000100101,010011110,
2.8571428571428574E-4,000100110,110100000110,
0.0037142857142857142,000100111,01111000,
0.001142857142857143,000101000,1101001001,
0.0025714285714285713,000101001,111001110,
0.002857142857142857,000101010,00101010,
0.001142857142857143,000101011,1011101111,
0.0017142857142857142,000101100,010000011,
0.0014285714285714286,000101101,000000010,
0.002857142857142857,000101110,00011001,
0.0025714285714285713,000101111,111101010,
0.001142857142857143,000110000,1011010100,
0.003142857142857143,000110001,00110010,
0.002857142857142857,000110010,00101110,
0.002,000110011,011110110,
0.002857142857142857,000110100,00101101,
0.002285714285714286,000110101,110111000,
0.0034285714285714284,000110110,01000111,
0.002,000110111,100100000,
0.002285714285714286,000111000,101110001,
0.002857142857142857,000111001,00000000,
5.714285714285715E-4,000111010,11010001100,
0.001142857142857143,000111011,1101101110,
0.002857142857142857,000111100,111111000,
0.002285714285714286,000111101,101011100,
0.002,000111110,100101101,
0.0017142857142857142,000111111,010000001,
0.002285714285714286,001000000,101110110,
0.0025714285714285713,001000001,111010101,
0.002,001000010,011111001,
0.002,001000011,100010111,
0.002,001000100,101000110,
0.0025714285714285713,001000101,111000110,
0.002857142857142857,001000110,00011010,
0.0014285714285714286,001000111,000111110,
0.002285714285714286,001001000,110000101,
0.0017142857142857142,001001001,010001001,
0.0025714285714285713,001001010,111011011,
0.001142857142857143,001001011,1101010000,
0.0017142857142857142,001001100,011000010,
0.0017142857142857142,001001101,010001011,
8.571428571428571E-4,001001110,0110011001,
8.571428571428571E-4,001001111,0101010100,
0.0025714285714285713,001010000,111010111,
0.002,001010001,100011001,
0.002,001010010,100110110,
8.571428571428571E-4,001010011,0100101101,
8.571428571428571E-4,001010100,0101010101,
0.001142857142857143,001010101,1100001111,
0.0025714285714285713,001010110,111100000,
0.0025714285714285713,001010111,111000001,
0.0017142857142857142,001011000,010101011,
0.0017142857142857142,001011001,011011011,
0.002285714285714286,001011010,110101111,
0.0014285714285714286,001011011,000011000,
0.0014285714285714286,001011100,1111100110,
0.0037142857142857142,001011101,01111001,
0.0014285714285714286,001011110,1111100111,
0.0017142857142857142,001011111,010111010,
0.0025714285714285713,001100000,111000010,
8.571428571428571E-4,001100001,0110010011,
0.001142857142857143,001100010,1011010101,
0.001142857142857143,001100011,1011010001,
0.002285714285714286,001100100,101111011,
0.0037142857142857142,001100101,01110101,
0.0017142857142857142,001100110,011000101,
5.714285714285715E-4,001100111,11000110100,
0.003142857142857143,001101000,00110111,
0.002,001101001,100011011,
0.0014285714285714286,001101010,1111110101,
0.002285714285714286,001101011,101101001,
8.571428571428571E-4,001101100,0100001111,
0.002,001101101,100101001,
0.002,001101110,100111011,
0.0025714285714285713,001101111,111011100,
0.001142857142857143,001110000,1011111111,
0.002,001110001,100010001,
0.002,001110010,100010011,
0.0017142857142857142,001110011,010110110,
0.002857142857142857,001110100,00011100,
0.0017142857142857142,001110101,010011011,
0.0017142857142857142,001110110,011010100,
0.0014285714285714286,001110111,001001000,
0.001142857142857143,001111000,1011110001,
0.002285714285714286,001111001,110110011,
0.0025714285714285713,001111010,111100100,
0.0014285714285714286,001111011,000011100,
0.0014285714285714286,001111100,1111101110,
0.004285714285714286,001111101,10101000,
0.0025714285714285713,001111110,111010100,
0.002285714285714286,001111111,110011110,
0.0014285714285714286,010000000,000111010,
0.002857142857142857,010000001,111110001,
0.0014285714285714286,010000010,000111011,
0.003142857142857143,010000011,00111101,
0.0025714285714285713,010000100,111100010,
0.0034285714285714284,010000101,01010111,
0.002285714285714286,010000110,110010111,
0.0017142857142857142,010000111,010011101,
0.003142857142857143,010001000,00110000,
8.571428571428571E-4,010001001,0110000110,
0.002,010001010,101000111,
0.002,010001011,100100010,
0.002,010001100,100100011,
0.002,010001101,100010100,
0.002,010001110,100010101,
0.0017142857142857142,010001111,011011100,
0.0025714285714285713,010010000,111011000,
0.0014285714285714286,010010001,000111111,
0.002,010010010,101000011,
0.0014285714285714286,010010011,1111110010,
0.002,010010100,100110100,
0.002285714285714286,010010101,110011100,
0.002,010010110,100001110,
0.0017142857142857142,010010111,010100010,
0.0017142857142857142,010011000,010100011,
8.571428571428571E-4,010011001,0100111110,
0.002857142857142857,010011010,00000101,
0.0025714285714285713,010011011,111010011,
0.002,010011100,100100001,
0.001142857142857143,010011101,1101010001,
0.0014285714285714286,010011110,1111111000,
0.002,010011111,100001011,
0.002,010100000,100011000,
0.002857142857142857,010100001,00000110,
0.0025714285714285713,010100010,111100110,
0.002285714285714286,010100011,101010100,
0.002285714285714286,010100100,110101010,
0.004285714285714286,010100101,10100110,
0.002285714285714286,010100110,110001110,
0.0025714285714285713,010100111,111011110,
0.0014285714285714286,010101000,000001110,
0.0014285714285714286,010101001,1111100100,
0.001142857142857143,010101010,1011101010,
0.001142857142857143,010101011,1011011111,
0.001142857142857143,010101100,1100001110,
0.002,010101101,100111001,
0.0017142857142857142,010101110,010010101,
0.001142857142857143,010101111,1011011010,
0.002,010110000,100101000,
0.0014285714285714286,010110001,000110110,
0.002285714285714286,010110010,101101100,
0.002285714285714286,010110011,101101110,
0.002,010110100,100101010,
0.0014285714285714286,010110101,000110111,
0.0025714285714285713,010110110,111100111,
0.0017142857142857142,010110111,010000100,
0.003142857142857143,010111000,00111000,
0.002285714285714286,010111001,101100011,
0.001142857142857143,010111010,1010110000,
0.0014285714285714286,010111011,000101000,
0.002,010111100,100000100,
0.0014285714285714286,010111101,001001110,
0.002857142857142857,010111110,111111101,
0.002857142857142857,010111111,00101100,
0.0025714285714285713,011000000,111101011,
0.002285714285714286,011000001,101101011,
0.002857142857142857,011000010,00101000,
0.0014285714285714286,011000011,001001111,
0.002,011000100,100100111,
5.714285714285715E-4,011000101,11000110101,
0.002857142857142857,011000110,00001001,
0.002,011000111,100111101,
0.0017142857142857142,011001000,010100001,
0.002,011001001,011110101,
0.001142857142857143,011001010,1010100100,
0.0025714285714285713,011001011,111100001,
0.0014285714285714286,011001100,001000001,
0.0025714285714285713,011001101,111001100,
0.0014285714285714286,011001110,1111110100,
5.714285714285715E-4,011001111,11001001000,
0.002285714285714286,011010000,110010000,
0.004285714285714286,011010001,10100111,
0.002285714285714286,011010010,101111101,
5.714285714285715E-4,011010011,11001001001,
0.0025714285714285713,011010100,111100011,
0.0014285714285714286,011010101,000101111,
0.002285714285714286,011010110,110100001,
0.002,011010111,101001001,
0.002857142857142857,011011000,00010000,
0.001142857142857143,011011001,1101101001,
0.0014285714285714286,011011010,000010110,
0.0014285714285714286,011011011,000010111,
5.714285714285715E-4,011011100,11000110110,
0.002285714285714286,011011101,110001000,
0.0014285714285714286,011011110,000010100,
0.002,011011111,100000010,
0.001142857142857143,011100000,1100101000,
0.002,011100001,100000011,
0.002,011100010,100010000,
0.002,011100011,100010010,
0.0017142857142857142,011100100,011010010,
0.001142857142857143,011100101,1100101010,
0.0014285714285714286,011100110,1111110110,
0.001142857142857143,011100111,1100101011,
0.002,011101000,100000110,
0.002285714285714286,011101001,101011110,
0.002285714285714286,011101010,110001001,
0.003142857142857143,011101011,00110110,
0.0014285714285714286,011101100,1111111100,
0.0014285714285714286,011101101,000101011,
8.571428571428571E-4,011101110,0111010000,
8.571428571428571E-4,011101111,0110010000,
0.0037142857142857142,011110000,01110110,
8.571428571428571E-4,011110001,0110101110,
0.001142857142857143,011110010,1101101111,
0.0014285714285714286,011110011,000000111,
0.002,011110100,100000111,
0.0017142857142857142,011110101,010110010,
0.002285714285714286,011110110,110101101,
0.0025714285714285713,011110111,111001001,
0.003142857142857143,011111000,00111100,
0.002857142857142857,011111001,00100110,
0.002857142857142857,011111010,00101111,
0.002,011111011,011110111,
0.001142857142857143,011111100,1101001000,
0.003142857142857143,011111101,00110001,
8.571428571428571E-4,011111110,0110010001,
0.002,011111111,011101001,
0.002285714285714286,100000000,101010111,
0.002285714285714286,100000001,110011111,
0.002857142857142857,100000010,111110110,
0.002857142857142857,100000011,111110000,
0.002,100000100,101001010,
0.002285714285714286,100000101,110010011,
0.0017142857142857142,100000110,010111100,
0.002857142857142857,100000111,00100011,
0.0017142857142857142,100001000,010111110,
0.0025714285714285713,100001001,110111111,
5.714285714285715E-4,100001010,11001001010,
0.002,100001011,101001011,
0.002,100001100,011111000,
8.571428571428571E-4,100001101,0110000111,
0.002285714285714286,100001110,110000010,
0.0017142857142857142,100001111,010011100,
0.002,100010000,101000000,
5.714285714285715E-4,100010001,11001001011,
0.002285714285714286,100010010,101100000,
0.0025714285714285713,100010011,111001111,
0.0017142857142857142,100010100,010011000,
0.002285714285714286,100010101,101100001,
0.0017142857142857142,100010110,010011001,
0.001142857142857143,100010111,1011001000,
0.002,100011000,100000000,
0.002,100011001,100000001,
0.0037142857142857142,100011010,01110011,
0.0017142857142857142,100011011,011001101,
0.001142857142857143,100011100,1011001001,
0.002285714285714286,100011101,110001111,
