Palabra         Huffman        
000000000       111000011      
000000001       111110100      
000000010       0110101101     
000000011       100101011      
000000100       1111111001     
000000101       01000000011    
000000110       000000110      
000000111       100010110      
000001000       110011101      
000001001       101010101      
000001010       1011001100     
000001011       010010000      
000001100       1101000111     
000001101       010111000      
000001110       0110101011     
000001111       010111101      
000010000       000011101      
000010001       101011011      
000010010       011011101      
000010011       1011100111     
000010100       1111100101     
000010101       00010110       
000010110       100011100      
000010111       011111101      
000011000       00110101       
000011001       111010010      
000011010       110011010      
000011011       1111110111     
000011100       010011010      
000011101       0111010001     
000011110       010001101      
000011111       0110011000     
000100000       1101011000     
000100001       1101011001     
000100010       110110000      
000100011       000001001      
000100100       010001000      
000100101       010011110      
000100110       110100000110   
000100111       01111000       
000101000       1101001001     
000101001       111001110      
000101010       00101010       
000101011       1011101111     
000101100       010000011      
000101101       000000010      
000101110       00011001       
000101111       111101010      
000110000       1011010100     
000110001       00110010       
000110010       00101110       
000110011       011110110      
000110100       00101101       
000110101       110111000      
000110110       01000111       
000110111       100100000      
000111000       101110001      
000111001       00000000       
000111010       11010001100    
000111011       1101101110     
000111100       111111000      
000111101       101011100      
000111110       100101101      
000111111       010000001      
001000000       101110110      
001000001       111010101      
001000010       011111001      
001000011       100010111      
001000100       101000110      
001000101       111000110      
001000110       00011010       
001000111       000111110      
001001000       110000101      
001001001       010001001      
001001010       111011011      
001001011       1101010000     
001001100       011000010      
001001101       010001011      
001001110       0110011001     
001001111       0101010100     
001010000       111010111      
001010001       100011001      
001010010       100110110      
001010011       0100101101     
001010100       0101010101     
001010101       1100001111     
001010110       111100000      
001010111       111000001      
001011000       010101011      
001011001       011011011      
001011010       110101111      
001011011       000011000      
001011100       1111100110     
001011101       01111001       
001011110       1111100111     
001011111       010111010      
001100000       111000010      
001100001       0110010011     
001100010       1011010101     
001100011       1011010001     
001100100       101111011      
001100101       01110101       
001100110       011000101      
001100111       11000110100    
001101000       00110111       
001101001       100011011      
001101010       1111110101     
001101011       101101001      
001101100       0100001111     
001101101       100101001      
001101110       100111011      
001101111       111011100      
001110000       1011111111     
001110001       100010001      
001110010       100010011      
001110011       010110110      
001110100       00011100       
001110101       010011011      
001110110       011010100      
001110111       001001000      
001111000       1011110001     
001111001       110110011      
001111010       111100100      
001111011       000011100      
001111100       1111101110     
001111101       10101000       
001111110       111010100      
001111111       110011110      
010000000       000111010      
010000001       111110001      
010000010       000111011      
010000011       00111101       
010000100       111100010      
010000101       01010111       
010000110       110010111      
010000111       010011101      
010001000       00110000       
010001001       0110000110     
010001010       101000111      
010001011       100100010      
010001100       100100011      
010001101       100010100      
010001110       100010101      
010001111       011011100      
010010000       111011000      
010010001       000111111      
010010010       101000011      
010010011       1111110010     
010010100       100110100      
010010101       110011100      
010010110       100001110      
010010111       010100010      
010011000       010100011      
010011001       0100111110     
010011010       00000101       
010011011       111010011      
010011100       100100001      
010011101       1101010001     
010011110       1111111000     
010011111       100001011      
010100000       100011000      
010100001       00000110       
010100010       111100110      
010100011       101010100      
010100100       110101010      
010100101       10100110       
010100110       110001110      
010100111       111011110      
010101000       000001110      
010101001       1111100100     
010101010       1011101010     
010101011       1011011111     
010101100       1100001110     
010101101       100111001      
010101110       010010101      
010101111       1011011010     
010110000       100101000      
010110001       000110110      
010110010       101101100      
010110011       101101110      
010110100       100101010      
010110101       000110111      
010110110       111100111      
010110111       010000100      
010111000       00111000       
010111001       101100011      
010111010       1010110000     
010111011       000101000      
010111100       100000100      
010111101       001001110      
010111110       111111101      
010111111       00101100       
011000000       111101011      
011000001       101101011      
011000010       00101000       
011000011       001001111      
011000100       100100111      
011000101       11000110101    
011000110       00001001       
011000111       100111101      
011001000       010100001      
011001001       011110101      
011001010       1010100100     
011001011       111100001      
011001100       001000001      
011001101       111001100      
011001110       1111110100     
011001111       11001001000    
011010000       110010000      
011010001       10100111       
011010010       101111101      
011010011       11001001001    
011010100       111100011      
011010101       000101111      
011010110       110100001      
011010111       101001001      
011011000       00010000       
011011001       1101101001     
011011010       000010110      
011011011       000010111      
011011100       11000110110    
011011101       110001000      
011011110       000010100      
011011111       100000010      
011100000       1100101000     
011100001       100000011      
011100010       100010000      
011100011       100010010      
011100100       011010010      
011100101       1100101010     
011100110       1111110110     
011100111       1100101011     
011101000       100000110      
011101001       101011110      
011101010       110001001      
011101011       00110110       
011101100       1111111100     
011101101       000101011      
011101110       0111010000     
011101111       0110010000     
011110000       01110110       
011110001       0110101110     
011110010       1101101111     
011110011       000000111      
011110100       100000111      
011110101       010110010      
011110110       110101101      
011110111       111001001      
011111000       00111100       
011111001       00100110       
011111010       00101111       
011111011       011110111      
011111100       1101001000     
011111101       00110001       
